population,acclimation_conditions,experiment_conditions,estimate
1.1,light_acclimated,grown_in_cycle,0.41924411599294065
1.1,light_acclimated,grown_in_dark,0.40971046438656195
1.1,light_acclimated,grown_in_light,0.3850772423233639
1.2,light_acclimated,grown_in_cycle,0.3745941965761212
1.2,light_acclimated,grown_in_dark,0.2844062210007222
1.2,light_acclimated,grown_in_light,0.27563921804177177
1.3,light_acclimated,grown_in_cycle,0.48044634908861583
1.3,light_acclimated,grown_in_dark,0.25539505951753133
1.3,light_acclimated,grown_in_light,0.3972584575678648
1.4,light_acclimated,grown_in_cycle,0.4015088251358272
1.4,light_acclimated,grown_in_dark,0.31197807636793484
1.4,light_acclimated,grown_in_light,0.1498660231023196
1.5,light_acclimated,grown_in_cycle,0.6655582739166531
1.5,light_acclimated,grown_in_dark,0.4236663322703086
1.5,light_acclimated,grown_in_light,0.14143147827457297
1.6,light_acclimated,grown_in_cycle,0.24442749857472088
1.6,light_acclimated,grown_in_dark,0.3702582290569601
1.6,light_acclimated,grown_in_light,0.21799123461404935
1.7,light_acclimated,grown_in_cycle,0.4544903865923449
1.7,light_acclimated,grown_in_dark,0.476710962286292
1.7,light_acclimated,grown_in_light,0.322389076534464
1.8,light_acclimated,grown_in_cycle,0.43128949001669187
1.8,light_acclimated,grown_in_dark,0.36499621603690335
1.8,light_acclimated,grown_in_light,0.35756712609257335
2.1,dark_acclimated,grown_in_cycle,0.32594885483816777
2.1,dark_acclimated,grown_in_dark,0.29775735702283385
2.1,dark_acclimated,grown_in_light,0.7054906719782191
2.2,dark_acclimated,grown_in_cycle,0.4149961013972922
2.2,dark_acclimated,grown_in_dark,0.13556606224323742
2.2,dark_acclimated,grown_in_light,0.5110651888436388
2.3,dark_acclimated,grown_in_cycle,0.20092208640270318
2.3,dark_acclimated,grown_in_dark,0.21923510537133697
2.3,dark_acclimated,grown_in_light,0.5915618086342262
2.4,dark_acclimated,grown_in_cycle,0.264799262599009
2.4,dark_acclimated,grown_in_dark,0.20087848003812245
2.4,dark_acclimated,grown_in_light,0.5423036701860884
2.5,dark_acclimated,grown_in_cycle,0.20815282645113897
2.5,dark_acclimated,grown_in_dark,0.2388182892503821
2.5,dark_acclimated,grown_in_light,0.5446762293126352
2.6,dark_acclimated,grown_in_cycle,0.33592453800211297
2.6,dark_acclimated,grown_in_dark,0.28303445956380757
2.6,dark_acclimated,grown_in_light,0.5033604547334637
2.7,dark_acclimated,grown_in_cycle,0.31550157023088726
2.7,dark_acclimated,grown_in_dark,0.41413881199747377
2.7,dark_acclimated,grown_in_light,0.5526932987204994
2.8,dark_acclimated,grown_in_cycle,0.40861821591097064
2.8,dark_acclimated,grown_in_dark,0.36293276297230687
2.8,dark_acclimated,grown_in_light,0.7762973032944249
3.1,cycle_acclimated,grown_in_cycle,0.5004548925512482
3.1,cycle_acclimated,grown_in_dark,0.3415441000559347
3.1,cycle_acclimated,grown_in_light,0.36301916265957007
3.2,cycle_acclimated,grown_in_cycle,0.48338748956608035
3.2,cycle_acclimated,grown_in_dark,0.38093587971557524
3.2,cycle_acclimated,grown_in_light,0.3864537737247064
3.3,cycle_acclimated,grown_in_cycle,0.45695113055187936
3.3,cycle_acclimated,grown_in_dark,0.09429196689587448
3.3,cycle_acclimated,grown_in_light,0.3280979864849167
3.4,cycle_acclimated,grown_in_cycle,0.48608511642794416
3.4,cycle_acclimated,grown_in_dark,-0.03369528987595243
3.4,cycle_acclimated,grown_in_light,0.4852705348878674
3.5,cycle_acclimated,grown_in_cycle,0.5903204958986098
3.5,cycle_acclimated,grown_in_dark,0.14258717859828945
3.5,cycle_acclimated,grown_in_light,0.39672318509955223
3.6,cycle_acclimated,grown_in_cycle,0.3001544598144971
3.6,cycle_acclimated,grown_in_dark,0.30827816987848167
3.6,cycle_acclimated,grown_in_light,0.30024401602436995
3.7,cycle_acclimated,grown_in_cycle,0.5405927812795235
3.7,cycle_acclimated,grown_in_dark,0.27963278545451303
3.7,cycle_acclimated,grown_in_light,0.49748185112786825
3.8,cycle_acclimated,grown_in_cycle,0.35807553535248016
3.8,cycle_acclimated,grown_in_dark,0.31431400858879754
3.8,cycle_acclimated,grown_in_light,0.5915354319065537
